
Яблоко,52,0.3,0.2,14
Куриная грудка,165,31,3.6,0
Банан,89,1.1,0.3,23
Гречка,343,13,3.4,72
Рис,130,2.7,0.3,28
Картофель вареный,82,2,0.1,17
Лосось,208,20,13,0
Творог 5%,121,17,5,1.8
Яйцо куриное,155,13,11,1.1
Овсянка,68,2.4,1.4,12
Греческий йогурт,59,10,0.4,3.6
Авокадо,160,2,15,9
Брокколи,34,2.8,0.4,7
Шпинат,23,2.9,0.4,3.6
Миндаль,609,21,53,22
Говядина,250,26,15,0
Свинина,242,25,16,0
Индейка,135,29,1.7,0
Тунец,144,23,5,0
Сельдь,158,18,9,0
Сыр Чеддер,403,25,33,1.3
Молоко 2.5%,50,3.4,2.5,4.7
Кефир 2.5%,51,3.4,2.5,4.7
Сметана 15%,160,2.6,15,3.6
Морковь,41,0.9,0.2,10
Свекла,43,1.6,0.2,10
Тыква,26,1,0.1,7
Кабачок,17,1.2,0.3,3.1
Баклажан,25,1,0.2,6
Помидор,18,0.9,0.2,3.9
Огурец,16,0.7,0.1,3.6
Перец сладкий,27,1,0.3,6
Лук репчатый,40,1.1,0.1,9
Чеснок,149,6.4,0.5,33
Петрушка,36,3,0.8,6
Укроп,40,2.5,0.5,6
Груша,57,0.4,0.1,15
Апельсин,47,0.9,0.1,12
Мандарин,53,0.8,0.3,13
Лимон,29,1.1,0.3,9
Грейпфрут,42,0.8,0.1,11
Виноград,69,0.7,0.2,18
Персик,39,0.9,0.3,10
Абрикос,48,1.4,0.4,11
Слива,46,0.7,0.3,11
Вишня,50,1,0.3,12
Черешня,63,1.1,0.4,16
Клубника,32,0.7,0.3,8
Малина,52,1.2,0.7,12
Черника,57,0.7,0.3,14
Клюква,46,0.4,0.1,12
Смородина черная,63,1.4,0.4,15
Крыжовник,44,0.9,0.6,10
Ананас,50,0.5,0.1,13
Киви,61,1.1,0.5,15
Манго,60,0.8,0.4,15
Гранат,83,1.7,1.2,19
Хурма,127,0.8,0.4,34
Арбуз,30,0.6,0.2,8
Дыня,34,0.8,0.2,8
Финики,282,2.5,0.4,75
Инжир,74,0.8,0.3,19
Изюм,299,3.1,0.5,79
Чернослив,240,2.2,0.4,64
Курага,241,3.4,0.5,63
Грецкий орех,654,15,65,14
Фундук,628,15,61,17
Кешью,553,18,44,30
Фисташки,562,20,45,28
Семечки подсолнечные,601,21,53,20
Семечки тыквенные,559,30,49,11
Кунжут,573,18,50,23
Льняное семя,534,18,42,29
Чиа,486,17,31,42
Оливковое масло,884,0,100,0
Подсолнечное масло,884,0,100,0
Сливочное масло,717,0.5,81,0.8
Майонез,680,1,75,2.6
Мед,304,0.3,0,82
Сахар,387,0,0,100
Шоколад молочный,550,7,35,56
Шоколад горький,546,5,31,61
Мармелад,300,0.1,0.1,80
Зефир,326,0.8,0.1,81
Печенье овсяное,437,6.5,14,72
Хлеб пшеничный,265,9,3.5,49
Хлеб ржаной,259,8,3,48
Батон нарезной,264,8,3,50
Лаваш,277,9,1.2,56
Макароны,371,13,1.5,75
Гречневая мука,353,13,3.4,72
Овсяная мука,369,13,6.8,66
Пшеничная мука,364,10,1,76
Рисовая мука,366,6,1.4,80
Кукурузная мука,348,8,1.9,75
Манная крупа,360,10,1,73
Перловая крупа,352,9,1,78
Пшенная крупа,348,11,3,69
Ячневая крупа,324,10,1.3,73
Кукурузная крупа,337,8,1.2,75
Фасоль,298,21,2,47
Горох,298,23,1.6,50
Чечевица,295,24,1.5,50
Нут,364,19,6,61
Соя,381,34,19,17
Киноа,368,14,6,64
Булгур,342,12,1.4,76
Кускус,376,13,0.6,77
Сельдерей,16,0.7,0.2,3.5
Редис,20,1.2,0.1,3.4
Репа,32,1.5,0.1,7
Редька,36,1.9,0.2,8
Артишок,47,3.3,0.2,11
Спаржа,20,2.2,0.1,3.9
Цветная капуста,25,2,0.3,5
Брюссельская капуста,43,3.4,0.3,9
Белокочанная капуста,25,1.3,0.1,6
Краснокочанная капуста,31,1.4,0.2,7
Пекинская капуста,16,1.2,0.2,3.2
Кольраби,42,2.8,0.1,10
Руккола,25,2.6,0.7,3.7
